date,link,price,title
Dec 23,https://newyork.craigslist.org/que/reb/d/astoria-mix-use-building-for-sale/7423451061.html,"$2,999,000",Mix Use Building For Sale 4 Apartments And Retail
Dec 23,https://newyork.craigslist.org/que/reb/d/astoria-family-building-for-sale-with/7423451248.html,"$3,699,000",9 Family Building For Sale With 5 Garages Lot Size 50X150
Dec 23,https://newyork.craigslist.org/que/reb/d/long-island-city-development-site-for/7423451317.html,"$6,899,000","Development Site For Sale Prime LIC 25,000 SQ FT Buildable"
Dec 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-sunset-park-room-on-the-park/7419826876.html,$0,"Sunset Park 4 Room on the park, 825 sq ft $625k"
Dec 23,https://newyork.craigslist.org/stn/reb/d/staten-island-bath-colonial-tilson/7424251820.html,"$749,900",4 Bath Colonial Tilson
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-3br-luxury-townhouse/7420353177.html,"$3,600",3BR LUXURY TOWNHOUSE
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-1br-fully-renovated/7418019037.html,"$1,439",1BR FULLY RENOVATED
Dec 23,https://newyork.craigslist.org/que/reb/d/atlantic-beach-fully-renovated-apts/7418019125.html,"$1,600",Fully Renovated Apts
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-luxury-townhouse-water-view/7418019208.html,"$2,800",Luxury Townhouse *** Water View
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-studio-apt-renovated-ocean/7414572028.html,"$1,182",Studio Apt *** Renovated ***Ocean View
Dec 23,https://newyork.craigslist.org/stn/reb/d/staten-island-bath-colonial-tilson/7424251658.html,"$749,900",4 Bath Colonial Tilson
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-luxury-townhouse-water-view/7414571859.html,"$2,800",Luxury Townhouse *** Water View
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-studio-apt-renovated-ocean/7414571703.html,"$1,100",Studio Apt *** Renovated ***Ocean View
Dec 23,https://newyork.craigslist.org/que/reb/d/atlantic-beach-fully-renovated-apts/7414571549.html,"$1,600",Fully Renovated Apts
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-fully-renovated-apt-water/7414571383.html,"$1,850",Fully Renovated Apt **** Water View
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-studio-apt-renovated-ocean/7416304980.html,"$1,100",Studio Apt *** Renovated ***Ocean View
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-luxury-townhouse-water-view/7416305088.html,"$2,800",Luxury Townhouse *** Water View
